Artist,Title,URI
"Aidan Coughlan, Kass Richards",The Three Faces of Eve,spotify:track:4RtbDT3GjdvgenFMDQT23q
Kass Richards,Dream,spotify:track:0XM5rwwco5JWodpG0iWd8q
"Aidan Coughlan, Kass Richards",God Damn Them All,spotify:track:2GtAhMwSH2QXcU2YswCEaU
Minorcan,Shapeshiftin Demon,spotify:track:52bmaQtMqSqpLmXH3OgOLV
Minorcan,Rock Alone,spotify:track:6EpX5gxJ4mBWKB6BsppoIU
Minorcan,Here on Out,spotify:track:4JgngQCcM0qnxZpOVfSENL
Zack Miles,Extra Steps,spotify:track:1C1XPObYUYFGCFomQywWJ1
Zack Miles,Nowhere to Hide,spotify:track:03dxvdVD1A7eXpO3JfSmaQ
Zack Miles,Where Have You Been,spotify:track:78dGMWbNYO4Fv5U7OeaJN8
Bonnie Madison,SUNFLOWER,spotify:track:4fUyJAifIUmtITWMXbrGNk
Bonnie Madison,THE CONSEQUENCE,spotify:track:73aoctvcECl2RzMq1ZIhdM
Bonnie Madison,NOTHING IN COMMON,spotify:track:0rag5vJmgHqDmemKw4xDwz
Ghost Blanket,Sex Blanket,spotify:track:2G1pTnPQ8cKYyGGVYNkaiZ
Ghost Blanket,Walk Of The Motz,spotify:track:4EDM0mkdNwcf8LC4PcqhRV
Ghost Blanket,Good Morning,spotify:track:2rs8iid88eYjB1a2zwFbsH
