Artist,Title,URI
Outside Dog,Susie,spotify:track:02XPb7jZ1314MeTvx3uxWt
Outside Dog,DOPE SOAP,spotify:track:1c9p01e0jkT8DZN6cDkouR
Outside Dog,Stuck,spotify:track:7BAB8IrF2lAJwBwl8GOVQE
Tweejy,Pop Punk and Pizza,spotify:track:0E57b9tASHIFIcFf7LM54Z
Tweejy,Say Less,spotify:track:1FSLLHpEAHZRfxnSkIfEUe
Tweejy,Birdhouse Down,spotify:track:6jiBmR09cfu8vW3YFi4zvO
Cocojoey,TIME TO GO!,spotify:track:4gGhXiTLHjPAJymUGX7CVf
Cocojoey,TRUST IN EVENTS,spotify:track:79lIDvrnG3UAOHGiyAN5nC
Cocojoey,MIDNIGHT LICKING HOURS,spotify:track:5unachuZsWgsXezhUl0b0x
Ghost Blanket,Sex Blanket,spotify:track:2G1pTnPQ8cKYyGGVYNkaiZ
Ghost Blanket,Walk Of The Motz,spotify:track:4EDM0mkdNwcf8LC4PcqhRV
Ghost Blanket,Good Morning,spotify:track:2rs8iid88eYjB1a2zwFbsH
Greazy Alice,Circles,spotify:track:6uvVWqKEL0lWbrdO31hMMq
Greazy Alice,Last Beer From The Fridge,spotify:track:2QuyP4qnbWZvp5Pyl32f48
Greazy Alice,Just Another One,spotify:track:0G6UcQICO9sXR7tDojtAIN
"Aaron Irwin Trio, Aaron Irwin, Mike Bagetta, Jeff Hirshfield",Wobegon,spotify:track:3m5NXKQeOvuAHCqNwcaFsP
"Aaron Irwin Trio, Aaron Irwin, Mike Bagetta, Jeff Hirshfield",High Hat,spotify:track:1Ccdvu3BceTkNanex46Sdr
"Aaron Irwin Trio, Aaron Irwin, Mike Bagetta, Jeff Hirshfield",Norman,spotify:track:6EVaifgCunfxPRg85uzvEL
"Andrew Swafford, Molly Swafford",All Your'n,spotify:track:4UpgLPIjsBeUlEn6vH9pLs
"Andrew Swafford, Molly Swafford",Unscrewed,spotify:track:6AzX74xRuNGyq5HR2cFC9A
Andrew Swafford,Suttree,spotify:track:6O5Bh7WH8BVQ9V09caSjxs
lava lamb,Mr. Glass,spotify:track:4ZrQYiMpxBWATWMfQSlju8
lava lamb,"Put me in, coach!",spotify:track:2dx2UZ36yAWILtAIAhw8uE
lava lamb,Slow Love,spotify:track:5usJL6LUuczJ3gl4pTlIU3
Blood Handsome,Don't Let Me Go,spotify:track:3J6Qzkx3qdMgnY90vfqdhc
"Violent Vickie, Blood Handsome",Gaslight - Blood Handsome Remix,spotify:track:3zmJyuixeEjpEZbJWM43Ci
"Dildox, Blood Handsome",PTSD - Blood Handsome Remix,spotify:track:1bTxW8WhrG2L6PfVLfDYN5
The New Romantics,Fire,spotify:track:7chncZBEOGhBrtfeJFgJVD
The New Romantics,Someone Like Me,spotify:track:4eA9F2uVQgoVnVJBoK0WMV
The New Romantics,Sunday Morning,spotify:track:1SNwR2ZvNsC9htfUW3wxzE
Antadie,Low Fidelity interlude,spotify:track:6p2VEJE3QVdrHecip3NABw
Antadie,Bend,spotify:track:29sGTwpmP1kemNiO2Z0sJV
Antadie,Stars That Glow,spotify:track:3itecyTbYxPqcswvQQ3w4X
Post Office Winter,See the avalanche,spotify:track:2kj9c8bVAFUT8OmtWlEWuN
Post Office Winter,The Coldest Winter on Top of Shark Peak,spotify:track:1AIO2HAKirgsGZa35CPeTH
Post Office Winter,"Aviators, Pt. 2",spotify:track:5TvctQ8DPM94e9GndTCR5j
Eric Lee Beddingfield,Mama Never Liked The Rodeo,spotify:track:74vesujWFFolc1188nprjK
Eric Lee Beddingfield,Ordinary Everyday Life,spotify:track:0MJO6nMAzX7JnZ0xL6gR8Y
Eric Lee Beddingfield,Too Much Lonesome,spotify:track:6fDjB5BhsJPiyyTFIX673i
Tellios,Babble On,spotify:track:1XXD6pLUYG4XMS5Qe6qn8q
Tellios,Here With You,spotify:track:1FndShfhdK4D4Xu2m7g1FW
Tellios,Grow,spotify:track:7pNNJNkeA9sEAx3RUdwZhX
"Hotline TNT, Audiotree",Antonio - Audiotree Live,spotify:track:0WSmQgW58Urx3P7TMg2A8h
"Hotline TNT, Audiotree",Stampede - Audiotree Live,spotify:track:2GsP8OgGcYN3FfZVhWvZ6P
"Hotline TNT, Audiotree",Had 2 Try - Audiotree Live,spotify:track:2fla933MzRxB9pIAGjjrrS
Sour Widows,Big Dogs,spotify:track:0Q4EB9bh0BGDqnGvipC0WO
