Artist,Track,Spotify URL,Album,Genres,Duration (min)
Ghost blanket,The crystal lake,https://open.spotify.com/track/135sjMkhrTWawxtyWjDdA0,The picture died,,3.02
Ghost blanket,Gold music box,https://open.spotify.com/track/3P1TdY3cyPhM8GF2ose2nB,The picture died,,1.4
Bonnie Madison,SUNFLOWER,https://open.spotify.com/track/4fUyJAifIUmtITWMXbrGNk,WHEN THE DOGS DIE,,3.6
Bonnie Madison,STAR GIRL,https://open.spotify.com/track/0sehxJcNAyGNaJDLIQiio0,WHEN THE DOGS DIE,,2.84
New Romantics,Down Bad - Teenage Petulance Version,https://open.spotify.com/track/5n11PS8iV2jh6mRkgZ2qZE,Down Bad (Teenage Petulance Version),,3.85
New Romantics,Screaming Infidelities,https://open.spotify.com/track/1Pp24AhIsDBEK1WuU1xZ52,Down Bad (Teenage Petulance Version),,4.07
Ghost Cop,Problems,https://open.spotify.com/track/3rRIdfhRAtEHqOoAARl9MR,Trouble,"darkwave, cold wave, ebm, post-punk, synthpop",4.43
Ghost Cop,A Shot in the Dark,https://open.spotify.com/track/2JgT2bCX1KGPJDYZU2Xqt5,A Shot in the Dark,"darkwave, cold wave, ebm, post-punk, synthpop",6.51
Holy Wire,I Still Feel Alone All The Time,https://open.spotify.com/track/3DeLxzk36GLkGaNooy9cov,The Ending Of An Age,"darkwave, cold wave, post-punk, synthpop",4.39
Holy Wire,Phantom Nihilism - The KVB Remix,https://open.spotify.com/track/0YXZsfURPzoKvbaiCbYyUB,The Ending Of An Age Remixes,"darkwave, cold wave, post-punk, synthpop",4.14
The Coke Dares,Honey Pie,https://open.spotify.com/track/2G1d6ZT3xMljw8DpsY5Fis,Fake Lake,,2.13
The Coke Dares,You Say a Lot,https://open.spotify.com/track/5iVmz2vkIHY2l4y3zykcYO,Fake Lake,,1.52
Material Objects,Working On My Act,https://open.spotify.com/track/15IHbAJWimt8WDpBbyVWmR,In Revision,,4.79
Material Objects,Ex-Feeling,https://open.spotify.com/track/0LQHVMTur2pVtP3HpkWNO4,Content Vs Carrier EP,,4.79
Quintron,Witch in the Club,https://open.spotify.com/track/3Qouhfb3XkkVHjfwwXmlIz,Checking the Skies for Taikonauts,,5.78
Quintron,Place Unknown,https://open.spotify.com/track/2mppVYsJzY6fsf4D7nwZuE,Are You Ready for an Organ Solo?,,3.55
Aaron Dilloway,It's Not Alright,https://open.spotify.com/track/4n0DTDCyWycrf5T1eoUBDn,The Gag File,"noise music, experimental, drone, avant-garde, dark ambient",2.36
Aaron Dilloway,Ghost,https://open.spotify.com/track/4dMM6ewWpN0x5jHjZ61f9Y,The Gag File,"noise music, experimental, drone, avant-garde, dark ambient",4.82
Garrett T. Capps,Toxic Serenity,https://open.spotify.com/track/4e5eSyKqb062TfYjvqRBYK,Life Is Strange,"alt country, americana",3.4
Garrett T. Capps,I'm Afraid to Go Outside,https://open.spotify.com/track/0wgPCFLGi2srRMrK1aDbLE,Life Is Strange,"alt country, americana",2.16
Yer Flowers,Floating,https://open.spotify.com/track/2QuSvGZq2FfYiaRpOhi8Rv,Floating,,5.36
Yer Flowers,I Sure Love Ya,https://open.spotify.com/track/4LWzpXhoY4TfrCfBl67FXs,Hot Dirt,,3.47
Sam Quinn,Fanboy,https://open.spotify.com/track/3ZJ0LqSlfFzwWgMbPYDRle,the fake that sunk a thousand ships,alt country,6.37
Sam Quinn,Hello,https://open.spotify.com/track/60Ym39B4qCFOvs7DxIv4JW,the fake that sunk a thousand ships,alt country,2.81
Daniel Kimbro,Chesapeake,https://open.spotify.com/track/19jMD9EjLCKJOB8hOJq9Qj,Carpet In The Kitchen,blues,4.12
Martin Harley,Feet Don't Fail Me (Feat. Jerry Douglas),https://open.spotify.com/track/5jN7si0mIiHEaTmIGYVCS6,Static in the Wires,blues,3.15
Ghost blanket,The crystal lake,https://open.spotify.com/track/135sjMkhrTWawxtyWjDdA0,The picture died,,3.02
Ghost blanket,Gold music box,https://open.spotify.com/track/3P1TdY3cyPhM8GF2ose2nB,The picture died,,1.4
Sarrenna,Audacity,https://open.spotify.com/track/4htzj7nGcF7K4RaU48A051,Audacity,,3.87
Sarrenna,BRB,https://open.spotify.com/track/2sPWxcM9hFt3bwJCSW5VGz,BRB,,3.56
Lazarus Lake,Nashville Silver Cloud,https://open.spotify.com/track/5ogdqDjbQeeKa0ru03SODF,Family Tree,,5.11
Lazarus Lake,Ford Ranger,https://open.spotify.com/track/0HOeRxW4ihkScT0F2lMyvi,Family Tree,,2.7
Maria Keck,Forest Queen,https://open.spotify.com/track/02DJ21wEOnMUkXfTe1XEru,The Gardener and Me,,7.31
Maria Keck,Wild & Free,https://open.spotify.com/track/6jfwBbBcbiXdNDfEpTJ647,The Gardener and Me,,4.48
Fake Sick,Spittle/Desert,https://open.spotify.com/track/0VaUgfhOZgeQYx913PfqlS,Stinker,,1.44
Fake Sick,Shredded Lettuce,https://open.spotify.com/track/6jMxUCC6sEelXyaqP7K2di,Gigantic Hand,,1.82
King Ghoul,Haunted Feelings,https://open.spotify.com/track/2nLpHLRgyfMuxNqux6gBt8,Haunted Feelings,,5.11
King Ghoul,Pay Me,https://open.spotify.com/track/4FzA9cXuNSKqm99iKFhd1o,Pay Me,,3.17
Peace Pursuers,Caterpillars,https://open.spotify.com/track/4RMyX1Z30cSh6ovx5J00OU,Divided We Stand,,3.83
Peace Pursuers,Perpetually Puzzled,https://open.spotify.com/track/7MV0nvHnrG0SIyEghqITPg,Bassically Noise,,4.44
