date,artist,price
2026-03-23,SHEP TREASURE,10
2026-03-23,CAELEN,10
2026-03-23,THE LAURELS,10
2026-03-23,20CATS,10
2026-03-24,MAIL.,10
2026-03-24,SECTS,10
2026-03-24,GLAD I DIDN’T GET MY STUPID WISH,10
2026-03-24,ANTADIE,10
2026-03-25,ESSENTIAL TREMORS PRESENTS: SELECTOR SERIES,10
2026-03-26,$WHAT FOR? 35,FREE
2026-03-27,$WHAT FOR? 35,FREE
2026-03-28,$WHAT FOR? 35,FREE
2026-04-02,TATSUYA NAKATANI,10
2026-04-02,MATT NELSON,10
2026-04-02,BARE TREES,10
2026-04-03,STEELBOY,10
2026-04-03,BAD IDOLS,10
2026-04-03,DOUBLE JOINTED,10
2026-04-04,BOYGIRL RISING,10
2026-04-04,PAUL PETROL,10
2026-04-04,SIPPY CUP,10
2026-04-04,BABY ROTTEN,10
2026-04-05,FRANCES BAKER,10
2026-04-05,SADDLE,10
2026-04-05,BONNIE MADISON,10
2026-04-07,SPLOOT,10
2026-04-07,SPINTRIA,10
2026-04-07,RAT PUNCH,10
2026-04-07,EARWIG DELUXE,10
2026-04-08,ANDREW SWAFFORD,10
2026-04-08,TELEFRONETIC,10
2026-04-08,SLOW BLINK,10
2026-04-10,THE MONTVALES,15
2026-04-10,BLUE CACTUS,15
2026-04-11,TITANS OF SIREN,10
2026-04-11,WAGE WORKER,10
2026-04-11,VIN HONEY,10
2026-04-14,FUST,15
2026-04-14,MERCE LEMON,15
2026-04-14,THOMAS DOLBAUM,15
2026-04-23,PALLBEARER,22
2026-04-23,KNOLL,22
2026-05-08,CECE COAKLEY,12
2026-05-24,LIQUID MIKE,12
2026-05-24,PONY,12
2026-05-27,TSUSHIMAMIRE,15
